Data inizio,Data fine,Lunghezza periodo (giorni),Soldi in banca iniziali ($),Deposito iniziale ($),Investimento base,Strategia Giacomo,Percentuale ritiro eccesso,Tempo controllo,Strategia VA,Vendita VA,Prima VA,Tempo acquisto VA,Quantità VA,Liquidità cumulativa finale,Ricarica cumulativa finale,Deposito finale ($),Deposito + liquidità cumulativa finali ($),Bitcoin finali,Bitcoin finali ($),Deposito + bitcoin + liquidità cumulativa finali ($),Max delta neg su deposito + liquidità ($),Max delta pos su deposito + liquidità ($),Tasse pagate,Guadagno finale su deposito + bitcoin + liquidità cumulativa ($),Guadagno / max_delta_neg,Guadagno - max_delta_neg
2020-02-01,2021-11-01,639,99000,1000,997,True,1,275,True,True,True,1,1000,-91131.35919202777,3671938.6971010542,265540.71944231284,174409.36025028507,10.394998817826446,638999.9999999999,813409.3602502849,198337.02751619474,522826.16064523935,15068.698906718215,812411.3542502848,4.0961154073157084,614074.3267340901
2020-02-01,2021-11-01,639,99000,1000,999,True,1,248,True,True,False,1,1000,-95206.75352075443,3583633.650550529,286493.2967159389,191286.54319518447,10.394998817826446,638999.9999999999,830286.5431951843,199325.02768696475,266740.07263527357,14748.600890373227,829288.5411951843,4.160483762719263,629963.5135082196
2020-02-01,2021-11-01,639,99000,1000,994,True,1,249,True,False,False,1,1000,-64848.960018563084,1063644.8356172917,79657.97630354381,14809.016284980724,17.883415210116627,1099326.9474612572,1114135.963746238,198545.32560899784,138135.36630448868,4294.762900840809,1113137.951746238,5.606467683547377,914592.6261372401
2020-02-01,2021-11-01,639,99000,1000,998,True,1,219,True,False,True,1,1000,-26819.79139316402,1288958.73117732,442240.82229113963,415421.0308979756,17.883415210116627,1099326.9474612572,1514747.9783592327,200516.15698359878,1288115.7878003456,6000.670327159552,1513749.9743592327,7.5492668377992596,1313233.8173756339
2020-02-01,2021-11-01,639,99000,1000,994,True,1,239,True,True,True,1,1000,-145511.73789055843,3567601.59487679,286493.2967159389,140981.55882538046,10.394998817826446,638999.9999999999,779981.5588253803,204004.71636133525,439381.5282088723,14583.512522202325,778983.5468253803,3.8184585176238603,574978.830464045
2020-02-01,2021-11-01,639,99000,1000,997,True,1,207,True,True,True,1,1000,-91136.59071232268,4085140.9619266563,284397.4994828226,193260.90877049993,10.394998817826446,638999.9999999999,832260.9087704998,201234.34078109742,784516.7116015519,16762.59886297357,831262.9027704997,4.130820313987795,630028.5619894023
2020-02-01,2021-11-01,639,99000,1000,994,True,1,222,True,True,True,1,1000,-101906.78513244251,3517194.855461963,286493.2967159389,184586.51158349638,10.394998817826446,638999.9999999999,823586.5115834962,201639.8556054629,635578.800056451,14468.866177369584,822588.4995834962,4.079493595715561,620948.6439780333
2020-02-01,2021-11-01,639,99000,1000,998,True,1,231,True,False,True,1,1000,-44820.743876450346,1282088.8466402476,340793.65702453477,295972.9131480844,17.883415210116627,1099326.9474612572,1395299.8606093419,201517.1094668851,1141492.294708495,5733.7607343258105,1394301.856609342,6.919024693724404,1192784.747142457
2020-02-01,2021-11-01,639,99000,1000,999,True,1,288,True,False,False,1,1000,-54559.75216401782,1194373.506801643,115394.30009938197,60834.54793536416,14.83164340275779,911728.8323409274,972563.3802762916,197559.75216401782,193321.94664857426,4910.981085247795,971565.3782762917,4.917830517775097,774005.6261122739
2020-02-01,2021-11-01,639,99000,1000,992,True,1,274,True,False,True,1,1000,-65559.78066936706,1056249.946668943,138961.3787312855,73401.59806191846,14.831643402757788,911728.8323409273,985130.4304028457,197559.78066936706,655382.5415748941,4382.536054909428,984132.4144028458,4.981441116549296,786572.6337334787
