timestamp,BTC,ETH,SOL,DOGE,LINK,AXS
2021-01-09 13:00:00,41051.65,1221.39,3.2,0.0103584,16.1283,0.6176
2021-01-09 14:00:00,40819.01,1223.17,3.1456,0.0102448,16.0504,0.60464
2021-01-09 15:00:00,40525.15,1219.95,3.1066,0.0102383,16.2469,0.60203
2021-01-09 16:00:00,39995.1,1200.88,2.9855,0.010091,16.2116,0.59246
2021-01-09 17:00:00,40421.4,1222.52,3.25,0.0100438,16.8069,0.60605
2021-01-09 18:00:00,40650.01,1224.69,3.385,0.0102942,16.7255,0.61598
2021-01-09 19:00:00,40665.91,1229.42,3.6238,0.0103704,16.8966,0.61414
2021-01-09 20:00:00,40606.22,1271.14,3.5153,0.0102699,17.4527,0.61714
2021-01-09 21:00:00,40718.8,1287.96,3.4801,0.0103414,17.2085,0.62381
2021-01-09 22:00:00,40281.09,1286.61,3.4833,0.0101797,17.5492,0.61668
2021-01-09 23:00:00,40088.22,1276.0,3.3829,0.0101789,17.5501,0.60144
2021-01-10 00:00:00,40581.48,1289.91,3.3932,0.01028,18.2628,0.6293
2021-01-10 01:00:00,41141.56,1323.44,3.4611,0.0103263,17.9216,0.62541
2021-01-10 02:00:00,40945.28,1338.0,3.6436,0.0104296,17.7922,0.62516
2021-01-10 03:00:00,40316.64,1310.97,3.5265,0.0102931,17.545,0.63179
2021-01-10 04:00:00,40342.46,1318.46,3.52,0.0102169,17.8151,0.64374
2021-01-10 05:00:00,40451.84,1315.54,3.5538,0.0103132,17.7266,0.64593
2021-01-10 06:00:00,40904.5,1324.35,3.6299,0.0103878,17.921,0.63935
2021-01-10 07:00:00,40978.57,1344.7,3.733,0.01061,18.0443,0.64367
2021-01-10 08:00:00,40798.29,1328.81,3.6035,0.01043,17.7337,0.6506
2021-01-10 09:00:00,40768.48,1331.63,3.5624,0.010661,17.52,0.64841
2021-01-10 10:00:00,40429.2,1318.43,3.449,0.0103462,17.3335,0.61604
2021-01-10 11:00:00,39181.76,1259.28,3.2501,0.00985,16.6151,0.58
2021-01-10 12:00:00,39538.57,1290.33,3.3227,0.0100975,17.17,0.5946
2021-01-10 13:00:00,39800.9,1309.66,3.3436,0.0102553,17.226,0.59925
2021-01-10 14:00:00,39431.59,1295.68,3.3166,0.010009,16.86,0.58462
2021-01-10 15:00:00,39671.81,1303.18,3.4137,0.0101236,17.013,0.58356
2021-01-10 16:00:00,39234.29,1297.39,3.4336,0.010027,16.7638,0.57198
2021-01-10 17:00:00,38571.86,1300.65,3.4397,0.0098633,16.5875,0.57174
2021-01-10 18:00:00,38109.68,1283.68,3.3662,0.0098138,16.4032,0.56249
2021-01-10 19:00:00,37456.77,1263.17,3.3251,0.009669,16.2211,0.56239
