coef_liquidity_in,coef_liquidity_out,dynamical_variables,func_monitor,mobile_window,timeframe,timeframe_grid_search,weighting_factor,window_grid_search,fattore_rendimento_totale,volatility,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio
1,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,720,224.09068355862945,0.3204839697380929,59.11645357148691,0.6420343469735739,1.1893296515545897,377.37494399736914
1,1,{},mstd_returns_prices,48,336,-1,1,360,211.47065483247053,0.4080816227106864,73.8843487149677,0.573414194279086,1.0677183721443035,284.8650065853972
5,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,360,209.55638861003115,0.3139543501593341,57.37058395138788,0.6433443386244803,1.1773072064058523,363.52495346177466
1,5,{},mstd_returns_prices,48,336,-1,1,360,198.47067596187657,0.4027436964079949,72.09739415370032,0.571152627731367,1.0651293567444118,273.8943317991494
5,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,360,194.5515711464847,0.3078282627137442,54.25128132241682,0.6430377583778031,1.179403656451415,356.76866320668535
5,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,360,193.6484990708064,0.3035340340733454,65.83627837240236,0.6485767709739481,1.1624801210783489,292.6175413213544
5,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,360,192.8571847484852,0.3034109470602785,65.83627837240236,0.6483283623522755,1.1619290497683492,291.4155986510151
1,1,{},ma_returns_prices,48,336,-1,1,360,182.5941281742716,0.3464951950577373,70.24804502006909,0.5995470249709676,1.0873940376149498,258.50417349321555
1,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,168,-1,0,360,174.13073707623994,0.3476295899972125,66.8445400501903,0.598300890911887,1.065462743445707,259.0050540346968
1,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,168,-1,0,360,171.97576730657502,0.3471955465912739,66.8445400501903,0.59758446105193,1.0639987068940675,255.781200945055
5,1,{},mstd_returns_prices,48,336,-1,1,360,169.90779974737285,0.3863812036725513,70.24804502006909,0.5670806108547809,1.063947146637945,240.4448404209936
5,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,720,164.5141180684713,0.2989345567176083,64.145744764928,0.6380651071186081,1.1533691865897002,254.9103119274616
5,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,720,164.4487455527349,0.2949981514345998,49.66449352880301,0.6411555457139133,1.187010571574072,329.1058338447416
5,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,720,163.8456402090475,0.2988040575256123,64.145744764928,0.6378216408432008,1.1528119138642337,253.86818846023309
5,5,{},mstd_returns_prices,48,336,-1,1,360,158.4166689271565,0.3819452087790712,70.24804502006909,0.5639807805440781,1.0589889158610135,224.08690360306016
5,1,{},mstd_returns_prices,168,336,-1,1,360,155.98798039268257,0.3944952604247631,69.81454923056052,0.5574018858746118,1.041019699289896,221.99954321962213
5,5,{},mstd_returns_prices,168,336,-1,1,360,155.40624987236913,0.3943868165898326,69.81454923056052,0.557175049090978,1.0405319409994838,221.1662920897004
5,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,720,153.0564946995075,0.289376805321609,48.841292271266624,0.6408388798433682,1.1890320196841446,311.3277467250032
5,1,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0,720,131.36680688781357,0.3010546392352298,68.19470819029428,0.6112077219424443,1.094311408671394,191.16850903449992
1,5,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0,360,130.86953720664104,0.3120573886128176,68.19470819029428,0.5998770257276905,1.0580314815538714,190.43931802486188
5,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,168,-1,0,360,126.05073926359988,0.3270823090910973,66.52605302544497,0.5866036595397971,1.0386108609142797,187.9725815324867
