Data inizio,Data fine,Lunghezza periodo (giorni),Soldi in banca iniziali ($),Deposito iniziale ($),Investimento base,Strategia Giacomo,Percentuale ritiro eccesso,Tempo controllo,Strategia VA,Vendita VA,Prima VA,Tempo acquisto VA,Quantità VA,Liquidità cumulativa finale,Ricarica cumulativa finale,Deposito finale ($),Deposito + liquidità cumulativa finali ($),Bitcoin finali,Bitcoin finali ($),Deposito + bitcoin + liquidità cumulativa finali ($),Max delta neg su deposito + liquidità ($),Max delta pos su deposito + liquidità ($),Tasse pagate,Guadagno finale su deposito + bitcoin + liquidità cumulativa ($),Guadagno / max_delta_neg,Guadagno - max_delta_neg
2020-02-01,2021-11-01,639,99000,1000,387,True,0.926021504422365,175,True,False,False,1,1000,334772.55381385045,1424473.8319511458,234884.11615243976,569656.6699662902,17.883415210116627,1099326.9474612572,1668983.6174275475,58379.97344888277,617853.1396693327,5783.200004806321,1667984.3914275474,28.5711742039079,1609604.4179786646
2020-02-01,2021-11-01,639,99000,1000,510,True,0.9786502123833757,483,True,False,False,1,1000,349122.61748574034,800918.643377098,212874.86944054876,561997.486926289,17.883415210116627,1099326.9474612572,1661324.4343875465,58255.51407984863,560997.486926289,3242.824675861115,1660325.4543875465,28.50074333069658,1602069.940307698
2020-02-01,2021-11-01,639,99000,1000,692,True,0.9052127265147671,539,True,False,False,1,1000,357610.41128688457,660398.3109812811,244099.78162678482,601710.1929136694,16.11092866490782,990368.8877021649,1592079.0806158343,58071.35468826966,600710.1929136694,2742.923529907225,1591080.4646158344,27.398714446336665,1533009.1099275649
2020-02-01,2021-11-01,639,99000,1000,388,True,0.9161704042289002,420,True,True,False,1,1000,120379.57448550197,3233863.145449756,390025.0877046739,510404.66219017585,10.394998817826446,638999.9999999999,1149404.6621901756,93554.52433973119,560513.1489778429,13347.06762782627,1148405.4381901757,12.275252814282819,1054850.9138504446
2020-02-01,2021-11-01,639,99000,1000,137,True,0.9007458832666771,612,True,False,False,1,1000,357048.82632904756,694122.6570053278,541423.3644486016,898472.1907776492,12.423814731735975,763715.104995006,1662187.2957726552,58632.93964610662,897472.1907776492,3471.699039129273,1661187.5697726551,28.33198505480293,1602554.6301265485
2020-02-01,2021-11-01,639,99000,1000,502,True,0.9019618837839236,330,True,True,True,1,1000,121494.92707143605,3148299.7047900488,390959.51288012613,512454.4399515622,10.394998817826446,638999.9999999999,1151454.439951562,93439.17175379711,562562.9267392292,13006.458851923702,1150455.443951562,12.312346335677047,1057016.2721977648
2020-02-01,2021-11-01,639,99000,1000,747,True,0.9461895073135193,615,True,False,False,1,1000,357666.0638502738,742626.4990991937,646817.9620153367,1004484.0258656105,11.41116263423741,701465.4884590335,1705949.514324644,58015.702124880416,1003484.0258656105,3879.766983278021,1704951.008324644,29.387751003248905,1646935.3061997637
2020-02-01,2021-11-01,639,99000,1000,260,True,0.9920802105169402,3,True,False,False,1,1000,-83741.21479425351,69352615.1307641,267233.5567288749,183492.3419346214,10.394998817826448,639000.0,822492.3419346215,153878.43545151956,314008.0694938082,277845.0367051574,821492.8619346215,5.338583405297478,667614.4264831019
2020-02-01,2021-11-01,639,99000,1000,24,True,0.9246220529326026,343,True,False,True,1,1000,340630.85119833716,780519.4907823547,299687.1927942431,640318.0439925803,17.883415210116627,1099326.9474612572,1739644.9914538376,58747.280367251806,945160.7272020519,3333.08345770529,1738645.0394538376,29.59532813408382,1679897.7590865858
2020-02-01,2021-11-01,639,99000,1000,803,True,0.9020100533086263,562,True,True,False,1,1000,121799.49837289358,3356013.2819746505,389534.8173206375,511334.31569353107,10.394998817826446,638999.9999999999,1150334.315693531,93134.60045233958,561442.8024811982,13837.333092894258,1149335.9216935309,12.340590028962314,1056201.3212411914
